,State,RegisteredUsers,AppOpens,Year,Quarter
687,madhya pradesh,22913924,1388282818,2022,4
688,andhra pradesh,27778016,1673374802,2022,4
689,tripura,678741,16107610,2022,4
690,lakshadweep,6961,72377,2022,4
691,manipur,477292,12462732,2022,4
692,maharashtra,55954028,2982202696,2022,4
693,dadra & nagar haveli & daman & diu,500125,24066770,2022,4
694,meghalaya,295322,10105924,2022,4
695,andaman & nicobar islands,88442,4354093,2022,4
696,haryana,14994944,556898878,2022,4
697,rajasthan,27255927,1537424924,2022,4
698,ladakh,106337,3832339,2022,4
699,punjab,8462753,199899443,2022,4
700,assam,5247776,248781157,2022,4
701,jharkhand,8217638,396098729,2022,4
702,odisha,14127239,726099254,2022,4
703,bihar,21738117,834827202,2022,4
704,kerala,10382102,346981849,2022,4
705,karnataka,36081698,3011645011,2022,4
706,chandigarh,627563,15308862,2022,4
707,telangana,25656381,1731228513,2022,4
708,himachal pradesh,2483076,72355717,2022,4
709,west bengal,25536381,678066327,2022,4
710,gujarat,22412353,790984595,2022,4
711,sikkim,241968,8948864,2022,4
712,nagaland,321205,11171582,2022,4
713,mizoram,132870,3144551,2022,4
714,chhattisgarh,6846822,354976814,2022,4
715,jammu & kashmir,1793434,60205865,2022,4
716,goa,855202,43005212,2022,4
717,arunachal pradesh,390307,21775038,2022,4
718,delhi,15764149,401864749,2022,4
719,uttarakhand,4272049,160685547,2022,4
